description,label,predicted_medical_specialty
"Closed head injury with evidence of axonal injury vs. vascular injury to the left substantia nigra, right subdural hematoma and possible subarachnoid hemorrhage, vascular/ischemic injury in the right occipital lobe-right basal ganglia/caudate nucleus-right frontal lobe, and right temporal lobe contusion.",Consult - History and Phy.,Neurosurgery
"Leukocytosis, acute deep venous thrombosis, right lower extremity with bilateral pulmonary embolism, on intravenous heparin complicated with acute renal failure for evaluation.",Consult - History and Phy.,Hematology - Oncology
Markedly elevated PT INR despite stopping Coumadin and administering vitamin K. Patient with a history of iron-deficiency anemia due to chronic blood loss from colitis.,Consult - History and Phy.,Gastroenterology
Patient presents with gross hematuria that started this morning.,Consult - History and Phy.,Urology
"Presents to the ER with hematuria that began while sleeping last night. He denies any pain, nausea, vomiting or diarrhea.",Consult - History and Phy.,Urology
"The patient had hematuria, and unable to void. The patient had a Foley catheter, which was not in the urethra, possibly inflated in the prostatic urethra, which was removed.",Consult - History and Phy.,Urology
Left hip fracture. The patient is a 53-year-old female with probable pathological fracture of the left proximal femur.,Consult - History and Phy.,Orthopedic
Status post left hip fracture and hemiarthroplasty. Rehab transfer as soon as medically cleared.,Consult - History and Phy.,Orthopedic
Likely molluscum contagiosum (genital warts) caused by HPV. It is not clear where this came from but it is most likely sexually transmitted.,Consult - History and Phy.,Dermatology
"Caudate Nuclei atrophy, bilaterally, in patient with Huntington Disease.",Consult - History and Phy.,Neurology
"This is a 69-year-old white woman with Huntington disease, who presents with the third suicide attempt in the past two months.",Consult - History and Phy.,Psychiatry / Psychology
Patient comes in for initial evaluation of a hyperesthesia on his right abdomen.,Consult - History and Phy.,Pain Management
Non-healing surgical wound to the left posterior thigh. Several multiple areas of hypergranulation tissue on the left posterior leg associated with a sense of trauma to his right posterior leg.,Consult - History and Phy.,General Medicine
Probable Coumadin hypersensitivity.,Consult - History and Phy.,Allergy / Immunology
"An 84-year-old woman with a history of hypertension, severe tricuspid regurgitation with mild pulmonary hypertension, mild aortic stenosis, and previously moderate mitral regurgitation.",Consult - History and Phy.,Cardiovascular / Pulmonary
"Nonischemic cardiomyopathy, branch vessel coronary artery disease, congestive heart failure - NYHA Class III, history of nonsustained ventricular tachycardia, hypertension, and hepatitis C.",Consult - History and Phy.,Cardiovascular / Pulmonary
"Chief complaint of chest pain, previously diagnosed with hyperthyroidism.",Consult - History and Phy.,Cardiovascular / Pulmonary
Left Iliopsoas hematoma. Gait difficulty.,Consult - History and Phy.,Orthopedic
Right iliopsoas hematoma with associated femoral neuropathy following cardiac catherization.,Consult - History and Phy.,Cardiovascular / Pulmonary
"Right shoulder impingement syndrome, right suprascapular neuropathy.",Consult - History and Phy.,Orthopedic
"A 1-month-26-day-old with failure-to-thrive. was only at her birth weight, and was noted to have murmur.",Consult - History and Phy.,Pediatrics - Neonatal
"A 10-day-old Caucasian female with bilateral arm and leg jerks, which started at day of life 1 and have occurred 6 total times since then.",Consult - History and Phy.,Pediatrics - Neonatal
"Local reaction secondary to insect sting. Patient was stung by a bee on his right hand, left hand, and right knee at approximately noon today.",Consult - History and Phy.,Allergy / Immunology
"Intractable epilepsy, here for video EEG.",Consult - History and Phy.,Neurology
Iron deficiency anemia. She underwent a bone marrow biopsy which showed a normal cellular marrow with trilineage hematopoiesis.,Consult - History and Phy.,Hematology - Oncology
"Pneumatosis coli in the cecum. Possible ischemic cecum with possible metastatic disease, bilateral hydronephrosis on atrial fibrillation, aspiration pneumonia, chronic alcohol abuse, acute renal failure, COPD, anemia with gastric ulcer.",Consult - History and Phy.,Gastroenterology
This 34-year-old gentleman awoke this morning noting some itchiness to his back and then within very a short period of time realized that he had an itchy rash all over his torso and arms.,Consult - History and Phy.,Allergy / Immunology
"Patient started out having toothache, now radiating into his jaw and towards his left ear. Ellis type II dental fracture.",Consult - History and Phy.,Dentistry
"Left knee pain and stiffness. Bilateral knee degenerative joint disease (DJD). Significant back pain, status post lumbar stenosis surgery with pain being controlled on methadone 10 mg b.i.d.",Consult - History and Phy.,Orthopedic
"Right knee injury suggestive of a recurrent anterior cruciate ligament tear, possible internal derangement. While playing tennis she had a non-contact injury in which she injured the right knee. She had immediate pain and swelling.",Consult - History and Phy.,Orthopedic
The patient with an L5 compression fracture.is to come to the hospital for bilateral L5 kyphoplasty. The patient has a history of back and buttock pain for some time.,Consult - History and Phy.,Orthopedic
A 13-year-old new patientfor evaluation of thoracic kyphosis. Family history of kyphosis in a maternal aunt and grandfather. She was noted by her parents to have round back posture.,Consult - History and Phy.,Orthopedic
Consult for laparoscopic gastric bypass.,Consult - History and Phy.,Bariatrics
Consult for laparoscopic gastric bypass.,Consult - History and Phy.,Bariatrics
Urine leaked around the ostomy site for his right sided nephrostomy tube. The patient had bilateral nephrostomy tubes placed one month ago secondary to his prostate cancer metastasizing and causing bilateral ureteral obstructions that were severe enough to cause acute renal failure.,Consult - History and Phy.,Urology
"The patient is a 26-year-old gravida 2, para 1-0-0-1, at 28-1/7 weeks who presents to the emergency room with left lower quadrant pain, reports no bowel movement in two weeks as well as nausea and vomiting for the last 24 hours or so. She states that she has not voided in the last 24 hours as well due to pain.",Consult - History and Phy.,Gastroenterology
"Pancreatic and left adrenal lesions. The adrenal lesion is a small lesion, appears as if probable benign adenoma, where as the pancreatic lesion is the cystic lesion, and neoplasm could not be excluded.",Consult - History and Phy.,Gastroenterology
"Lightheaded, dizziness, and palpitation. This morning, the patient experienced symptoms of lightheaded, dizziness, felt like passing out; however, there was no actual syncope. During the episode, the patient describes symptoms of palpitation and fluttering of chest. She relates the heart was racing. By the time when she came into the Emergency Room, her EKG revealed normal sinus rhythm. No evidence of arrhythmia.",Consult - History and Phy.,Cardiovascular / Pulmonary
The patient comes in today because of feeling lightheaded and difficulty keeping his balance.,Consult - History and Phy.,Neurology
Patient with a 1-year history of progressive anterograde amnesia,Consult - History and Phy.,Neurology
"A 21-month-old male presented for delayed motor development, ""jaw quivering"" and ""lazy eye.""",Consult - History and Phy.,Pediatrics - Neonatal
"New patient consultation - Low back pain, degenerative disc disease, spinal stenosis, diabetes, and history of prostate cancer status post radiation.",Consult - History and Phy.,Orthopedic
"Lumbar muscle strain and chronic back pain. Patient has a history of chronic back pain, dating back to an accident that he states he suffered two years ago.",Consult - History and Phy.,Physical Medicine - Rehab
"Abdominal pain right lower quadrant, radiating around her side to her right flank. Etiology is unclear.",Consult - History and Phy.,Gastroenterology
"Low back pain, lumbar radiculopathy, degenerative disc disease, lumbar spinal stenosis, history of anemia, high cholesterol, and hypothyroidism.",Consult - History and Phy.,Physical Medicine - Rehab
